,age,gender,What is your Education Level:,transcription_1,transcription_2,transcription_3,transcription_4,quit_4,transcription_5,quit_5,transcription_6,quit_6,transcription_7,quit_7,transcription_8,quit_8,transcription_9,quit_9,transcription_10,quit_10,transcription_11,quit_11,transcription_12,quit_12,transcription_13,quit_13,transcription_14,quit_14,transcription_15,quit_15,transcription_16,quit_16,transcription_17,quit_17,transcription_18,quit_18,transcription_19,quit_19,transcription_20,quit_20,transcription_21,quit_21,transcription_22,quit_22,transcription_23,quit_23,transcription_24,quit_24,transcription_25,quit_25,transcription_26,quit_26,transcription_27,quit_27,transcription_28,quit_28,transcription_29,quit_29,transcription_30,quit_30,enjoyment_1,enjoyment_2,enjoyment_3,enjoyment_4,competence_1,competence_2,competence_3,effort_1,effort_2,"Did you choose to stop before reaching the end (i.e., the 30th task)? If so, why?"," Did you stop as soon as you first thought of stopping? If not, why did you persist and continue doing more tasks?",quit_index
0,67,Female,High school education,it may be tempting at first,anything you want to know ab out Mr Roger in a,it might be called connetic beauty,men may profess their love of sports,0,but that love must always be cast in an active sybology of war,0,journalistically speaking there is no news to offer you about Rodger Federar,0,and I do in person on the sacred grass of Wimbledon,0,couldn't make most of it out,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,4,6,3,2,6,1,6,The words became garbled and difficult to understand,I really don't know,8
1,48,Male,Bachelorג€™s or equivalent level of education,It may be tempting at first,anything you want to know about Mr Roger ??,It might be called kinetic beauty,Men may profess their love of sports,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,1,7,7,1,1,7,Yes. There is no reward so I didn’t find a reason to continue,Yes,4
2,18,Female,High school education,"It may be tempting, at first.",Anything you want to know about Mr Rodger ...,It might be called kinetic beauty,Men may profess their love of sports,0,"But, that love must always be casted in the symbology of war",0,"Journalistically speaking, there is no hot news to offer you about Roger Fedor.",0,"And then do, in person, on the sacred grass of Wimbledon.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,5,4,2,4,2,5,Yes. It became increasingly tedious,"No. I thought: ""If I could just do one more...""",7
3,50,Female,Masterג€™s+ or equivalent level of education,it may be tempting at first,anything you want to know about mr rogers,it might be called kinetic beauty,men may profess their love of sports,0,but that love must always be cast in a symbol of war,0,journalistically speaking there is no hot news about roger federe,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,7,2,4,2,2,3,yes it got so boring,tried to carry on for a bit longer rather than give up,6
4,25,Female,Other,It maybe tempting at first,Anything you want to know about Mr Rodger and MRI Feder,It might be called kinetic beauty,Men may profess their love of sports,0,But that love must always be casted and acted in the symbology of war,0,Journalistically speaking there is no hot news to offer you about Rodger Feder,0,And then do in person on the sacred grass in Wimbledon ,0,"Then you have to have one of the tournaments, that pressed bus drivers describe as bloody near religious experience.",0,As human beings reconciliation with the fact of having a body. ,0,60 minutes did a feature on him just last year. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,6,5,5,3,4,4,The task was repetitive ,To see if I found the task more enjoyable.,10
5,31,Male,Bachelorג€™s or equivalent level of education,it may be tempting at first,anything you want to know about mr roger etc,it might be called connectic beauty,men may profess their love of sports,0,but that love must always be cast and acted in symbolegy of war,0,journelistically speaking there is no hot news regarding roger federer,0,and then do on the scarcred grass of wimbeldom,0,and then you apt bus driver bloody near experience,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,4,3,5,2,4,was becoming too hard,thought i can manage more,8
6,22,Female,High school education,it maybe ,anything you need to know bout mr roger,it might be called connected beauty,it made me confess my love for sports,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,2,7,6,2,1,7,The task was not interesting,yes,4
7,24,Female,Bachelorג€™s or equivalent level of education,"It may be tempting, at first",anything you want to know about mr roger...,it might be called kinetic beauty,men may profess their love of sports,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,7,1,7,5,2,2,6,yes because I didn’t want to,Yes,4
8,28,Male,High school education,It may be tempting at first,anything you want to know about roger federer,It might be called kinetic beauty,man may profess their love of sports,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,6,2,6,6,1,2,6,"yes, the task was too long","Yes, I didn’t want to continue",4
9,21,Female,Bachelorג€™s or equivalent level of education,It may be tempting at first.,Anything you want to know about Mr Rodger and nma federer,It might be called connected beauty ,Men may profess their love of sports,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,6,1,7,7,1,2,7,Yes,yes,4
