,age,gender,What is your Education Level:,transcription_1,I think this article is talking about:,transcription_2,I think this article is talking about:.1,transcription_3,I think this article is talking about:.2,transcription_4,I think this article is talking about:.3,quit_4,transcription_5,I think this article is talking about:.4,quit_5,transcription_6,I think this article is talking about:.5,quit_6,transcription_7,I think this article is talking about:.6,quit_7,transcription_8,I think this article is talking about:.7,quit_8,transcription_9,I think this article is talking about:.8,quit_9,transcription_10,I think this article is talking about:.9,quit_10,transcription_11,I think this article is talking about:.10,quit_11,transcription_12,I think this article is talking about:.11,quit_12,transcription_13,I think this article is talking about:.12,quit_13,transcription_14,I think this article is talking about:.13,quit_14,transcription_15,I think this article is talking about:.14,quit_15,transcription_16,I think this article is talking about:.15,quit_16,transcription_17,I think this article is talking about:.16,quit_17,transcription_18,I think this article is talking about:.17,quit_18,transcription_19,I think this article is talking about:.18,quit_19,transcription_20,I think this article is talking about:.19,quit_20,transcription_21,I think this article is talking about:.20,quit_21,transcription_22,I think this article is talking about:.21,quit_22,transcription_23,I think this article is talking about:.22,quit_23,transcription_24,I think this article is talking about:.23,quit_24,transcription_25,I think this article is talking about:.24,quit_25,transcription_26,I think this article is talking about:.25,quit_26,transcription_27,I think this article is talking about:.26,quit_27,transcription_28,I think this article is talking about:.27,quit_28,transcription_29,I think this article is talking about:.28,quit_29,transcription_30,I think this article is talking about:.29,quit_30,enjoyment_1,enjoyment_2,enjoyment_3,enjoyment_4,competence_1,competence_2,competence_3,effort_1,effort_2,"Did you choose to stop before reaching the end (i.e., the 30th task)? If so, why?"," Did you stop as soon as you first thought of stopping? If not, why did you persist and continue doing more tasks?",quit_index
0,26,Other,Bachelorג€™s or equivalent level of education,"It may be tempting, at first",I have no idea,Anything you want to know about Mr. Roger and M.I Thudder,Unsure,It might be called kinetic beauty,Tennis player Roger Federer,Men may profess your love of sports,Roger Federer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,5,3,6,3,3,4,I accidentally clicked 'yes' to quitting instead of 'no'.,I quit by accident,4
1,30,Male,Masterג€™s+ or equivalent level of education,"It may be tempting, at first.",,Anything you want to know about Mr Roger Federer,,It might be called kinetic beauty.,Roger Federer,Men may profess their love of sports.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,5,5,7,7,1,1,7,The files took a long time to load.,Yes.,4
2,30,Female,Bachelorג€™s or equivalent level of education,"It may be tempting, at first",No,Anything you want to know about Mr Roger,,It might be called connectic beauty ,Roger Federer ,Men may profess their love of sports,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,5,6,5,2,3,3,Seemed like it would take a long time to complete all tasks,"No, decided to do one more ",4
3,25,Female,High school education,It may be tempting at first.,,Anything you want to know about Mr Rogers NMI,,It might be called kinetic beauty.,Roger Federer,Men may profess their love of sports,Rodger Federer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,6,2,3,4,5,2,Did not see the point in completing it.,Yes,4
4,23,Male,Bachelorג€™s or equivalent level of education,It may be tempting at first,Taking chances,Anything you want to know about mr Roger,,It might be called kinetic beauty,,Men may profess their love of sports ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,5,4,4,3,5,4,It seemed long and boring,Yes,4
5,28,Female,Bachelorג€™s or equivalent level of education,It may be tempting at first.,,Anything you want to know about Mr Rodger,,It might be called kinetic beauty   ,,Men may profess their love of sports,,0,but that love must always be cast and enacted as a symbology of war ,,0.0,"Journalistically speaking, there is not hot news to offer you about Roger Federer",,0.0,"and then do, in person, on the sacred grass of Wimbledon",Tennis player Roger Federer winning Wimdledon,0.0,the newer app to have what one the tournaments press bus drivers describes as a bloody near religious experience ,,0.0,as human beings the act of reconciliation with the fact of having a body,,0.0,sixteen minutes to defeat just last year,Rodger Federer,0.0,,,0.0,"Elimination versus advance, hierarchy of rank and standing, obsessive statistics, technical analysis, uniforms, mass noise, banners, chest thumping, etcetera. ",Rodger Federer,0.0,"Maybe the best ever, bios and profiles around.",,0.0,beauty is not the goal of competitive sports.,,0.0,"It's all just a google search away, knock yourself out.",,0.0,"Literally for an instance ecstatically, though it takes some time.",Rodger Federer,0.0,but high level sports are a prime level for the expression of human beauty,,0.0,"For reasons that are not well understood, ",,0.0,the human beauty we are talking about here is beauty of a particular type,,0.0,this present article is more about a spectators experience of federer and its context,Roger Federer,0.0,but the driver's phrase turns out to be true,Roger Federer ,0.0,it had nothing to do with sex or cultural norms.,,0.0,"he is, at 25, the best tennis player currently alive.",,0.0,what it seems to have to do with really,Roger Federer,0.0,through the literally withering heat and then wind and rain of the 06 sport night,,0.0,"of course, in mens sports no one every talks about beauty or grace or the body.",Roger Federer,0.0,and serious watching to see this truth emerge ,Roger Federer,0.0,this specific thesis here is that if you have not seen the young man play live ,Roger Federer,0.0,the relation is roughly that of courage to war,Roger Federer,0.0,It's power in a PLR universal.,Roger Federer,0.0,4,5,4,4,5,5,2,6,7,I didn't stop,"No, I continued to aid the study.",30
6,43,Male,Masterג€™s+ or equivalent level of education,It may be tempting at first,,Anything you want to know about Mr Roger NMI Federer,Roger Federer,It might be called kinetic beauty ,Roger federer ,Men may profess their love of sports,,0,But that love must always be enacted in the symbology of war,,0.0,Journalistically speaking there is no hot news to offer about Roger federer,Roger federer,0.0,"And then do, on the sacred grass of wimbledon",Roger federer ,0.0,Bus drivers describe the app as a bloody near religious experience ,Roger federer,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,1,7,4,3,6,4,5,Because I was bored!,No I carried on a couple more times,8
7,30,Other,Bachelorג€™s or equivalent level of education,It may be tempting at first,,Anything you want to know about Mr Rodger,,It might be called kinetic PV,Rodger Federer,Men may profess their love of sports,Rodger Federer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,7,4,6,1,1,6,Yes.,Yes i stopped as soon as i thought of it and was given the option.,4
8,53,Male,Masterג€™s+ or equivalent level of education,It may be tempting at first,Donald Trump,Anything you want to know about Mr Roger MRI Federer,Roger Federer,It might be called kinetic beauty,Rafa Nadal,Men may profess their love of sports,Venus Williams,0,but that love must always be cast in the symbiology of war,Harold Macmillan,0.0,Journalistically speaking there is no hot news to offer you about ROger Federer,Craig Charles,0.0,And they do in person on the sacred grass of Wimbledon,Clare Balding,0.0,then you are apt to have what one of the tournament's press bus drivers calls a bloody near religious experience,Cliff Richard,0.0,is human beings' reconciliation of the fact of having a body,Princess Michael Duchess of Kent,0.0,60 minutes to defeat xxxx just last year,,0.0,to hear a phrase like this is just one of the more heated tropes to describe the feeling of Federer moments,Sue Barker,0.0,elimination versus advance hierarchy of rank and standing obsessive statistics ,Arthur Ashe,0.0,maybe the best ever bios and profiles abound,John McEnroe,0.0,beauty is not the goal of competitive sports,GG Fernandez,0.0,it's all just a google search away just knock yourself out,Nigel Clegg,0.0,literally for an instance ecstatically though it takes some time,The meaningless life of the typing chimpanzee,0.0,but high level sports are a prime venue for the expression of human beauty,Sisyphus,0.0,for reasons that are not well understood wars codes are safer for most of us than loves,Tim Minchin,0.0,the human beauty we're talking about here is beauty of a particular type,Emma Freud,0.0,this present article is more about a spectator's experience of Federer and its context,Duchess of Cambridge,0.0,but the driver's phrase turns out to be true,Jeremy Clarkson,0.0,it has nothing to do with sex or cultural norms,Liz Truss,0.0,he is at 25 the best tennis player still alive,Alexander Armstrong,0.0,what it seems to have to do with really,,0.0,through the literally wilting heat,,0.0,of course in men's sports no-one ever talks about beauty grace or the body,,0.0,and serious watching to see this truth emerge,,0.0,this specific thesis is that if you never seen this young man play leeeve,,0.0,the relation is roughly that of courage to war,,0.0,its power and appeal are universal,,0.0,2,1,1,7,4,4,1,5,1,no,"no, I am a masochist",30
9,32,Male,High school education,"It may be tempting, at first. ",,Anything you want to know about Mister Roger,,It might be called Kinetic beauty,,Men may profess their love of sports,,0,But that love must always be cast and enacted in the symbology of war,,0.0,"Journalistically speaking, there is no hot news to offer you about Roger Federer",,0.0,"And then do, in person, on the sacred grass of Wimbledon",Roger Federer,0.0,Then you are apt to have what one of the tournaments press bus drivers describes as a bloody near religious experience,,0.0,If human beings reconciliation with the fact of having a body,,0.0,60 minutes did a feature on him just last year,,0.0,To hear it phrased like this is just one more of the overheated tropes that people resort to describe the feeling of Federer moments.,,0.0,"elimination versus advance, heirarchy of rank and standing, obsessive statistics, technical analysis, uniforms, mass noise, banners, chest thumping etc",,0.0,Maybe the best ever. Bios and profiles abound,,0.0,Beauty is not the goal of competitive sports. ,,0.0,"Its all just a google search away, knock yourself out. ",,0.0,"Literally, for an instant ecstatically, though it takes some time. ",,0.0,But high level sports are a prime venue for the expression of human beauty.,,0.0,"For reasons that are not well understood, wars coats are safer for most of us than loves",,0.0,The human beauty we're talking about here is beauty of a particular type,,0.0,This present article is more about a spectators experience of Federer and its context,,0.0,But the drivers phrase turns out to be true. ,,0.0,It has nothing to do with sex or cultural norms,,0.0,"He is, at 25, the best tennis player currently alive",,0.0,"what it seems to have to do with, really",,0.0,through the literally withering heat and then wind of the 06 fortnight,,0.0,"Of course, in mens sports noone ever talks about beauty or grace or the body",,0.0,and serious watching to see this truth emerge,,0.0,this specific thesis here is if youve never seen the young man play live,,0.0,the relation is roughly that of courage to war,,0.0,its power and appeal are universal,,0.0,5,1,2,6,6,3,3,4,6,No. I was given a task to do and wanted to see it through. ,No. I wanted to do the task to the best of my ability to help with whatever study this task is about. ,30
