,age,gender,What is your Education Level:,transcription_1,I think this article is talking about:,transcription_2,I think this article is talking about:.1,transcription_3,I think this article is talking about:.2,transcription_4,I think this article is talking about:.3,quit_4,transcription_5,I think this article is talking about:.4,quit_5,transcription_6,I think this article is talking about:.5,quit_6,transcription_7,I think this article is talking about:.6,quit_7,transcription_8,I think this article is talking about:.7,quit_8,transcription_9,I think this article is talking about:.8,quit_9,transcription_10,I think this article is talking about:.9,quit_10,transcription_11,I think this article is talking about:.10,quit_11,transcription_12,I think this article is talking about:.11,quit_12,transcription_13,I think this article is talking about:.12,quit_13,transcription_14,I think this article is talking about:.13,quit_14,transcription_15,I think this article is talking about:.14,quit_15,transcription_16,I think this article is talking about:.15,quit_16,transcription_17,I think this article is talking about:.16,quit_17,transcription_18,I think this article is talking about:.17,quit_18,transcription_19,I think this article is talking about:.18,quit_19,transcription_20,I think this article is talking about:.19,quit_20,transcription_21,I think this article is talking about:.20,quit_21,transcription_22,I think this article is talking about:.21,quit_22,transcription_23,I think this article is talking about:.22,quit_23,transcription_24,I think this article is talking about:.23,quit_24,transcription_25,I think this article is talking about:.24,quit_25,transcription_26,I think this article is talking about:.25,quit_26,transcription_27,I think this article is talking about:.26,quit_27,transcription_28,I think this article is talking about:.27,quit_28,transcription_29,I think this article is talking about:.28,quit_29,transcription_30,I think this article is talking about:.29,quit_30,enjoyment_1,enjoyment_2,enjoyment_3,enjoyment_4,competence_1,competence_2,competence_3,effort_1,effort_2,"Did you choose to stop before reaching the end (i.e., the 30th task)? If so, why?"," Did you stop as soon as you first thought of stopping? If not, why did you persist and continue doing more tasks?",quit_index
0,19,Female,High school education,it may be tempting at first. ,,Anything you want to know about Mr Roger M.N.I?,Mr Roger,It might be called kinetic beauty. ,kinetic beauty. ,Men may profess their love of sports. ,the love of sports. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,4,4,4,4,4,4,yes. ,yes. ,4
1,20,Female,High school education,"It may be tempting, at first.",Something bad,"Anything you want to know about Mr Roger, in a monitor",Mr Roger,It might be called kinetic beauty,,men may profess their love of sports,Men,0,but that love must always be cast inactive in the symbology of war,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,6,5,5,1,4,3,"Yes, it was getting quite boring","No, I thought I would try to keep going but the thought of dong 30 tasks seemed way too much as I was not enjoying it",5
2,21,Male,High school education,"It may be tempting, at first.",,Anything you want to know about Mr Rodger Animanthor,,It might be called kinetic beauty,,Men may profess their love for sports,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,5,5,4,2,4,5,"Yes, it seemed a bit repetitive.",I stopped as soon as I thought of stopping,4
3,25,Female,Bachelorג€™s or equivalent level of education,"it may be tempting, at first",,anything you want to know about mr roger m federer,mr roger,it might be called connective beauty,,men may profess their love of sports,,0,but that love must always be cast in analgoy and symbol of war,,0.0,journalisticly speaking theres no new hot news on mr roger federer,,0.0,"and they do, in person, on the sacred grass of wimbledon",,0.0,then youre ap what one of the bus drivers describe as a bloody near experience,,0.0,if human beings consolidation with the fact of having a body,,0.0,60 minutes did  a feature on him just last year,,0.0,"to hear a phrase like this is just one more over heated tropes people resort to, to describe the feeling of federer moments",,0.0,elmination vs the dance hierachy of rank and standing statistics and analysis uniforms mass noise chest thumping etc,,0.0,maybe the best ever files are profound,,0.0,beauty is not the goal of competitive sports,,0.0,its all just a google search away knock yourself out,,0.0,literally for an instantly ecstacilly it may take some time,,0.0,the high leverls sports are primed of human beauty,,0.0,for reasons that are not well understood war is codes for most of us than love,,0.0,the human beauty we are talking about here is of a particular type,,0.0,this present article is more about a spectators view of federer and its context,,0.0,but the drivers phrase turns out to be true,,0.0,it has nothing to do with sex or cultural norms,,0.0,"he is, at 25, the best tennis player alive",,0.0,what it seems to have to do with really,,0.0,through the literally withering heat and then wind and rain of the 06 fortnight,,0.0,ofcourse in sport men nobody ever talk about the beauty or graze of the body,,0.0,and serious watching to see the truth emerge,,0.0,this specific these here is if youve never seen the man play live,,0.0,the relation is roughly of that courage to war,,0.0,its powering appeal are universal,,0.0,3,6,6,3,6,6,2,2,6,no,to see where it went,30
4,19,Male,High school education,"it may be tempting, at first",a new experience,anything you want to know about mr roger,,it might be called connected beauty,new technology,men may profess their love of sports,,0,but that love must always be cast and acted in a symbology of war,,0.0,"journalistically speaking, there is no hot news to offer you about roger feder",,0.0,and then do in person on the sacred grass of wimbledon,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,1,1,5,3,5,because it was very hard to understand the audios.,"no, I tried doing as many as possible",8
5,29,Female,Bachelorג€™s or equivalent level of education,it may be tempting at first,,anything you want to know about mr rodger,mr rodger,it might be called kinetic beauty,,men may profess their love of sports,,0,But that love must always be cast and enacted in a symbology of war ,,0.0,Journalistically speaking there is no hot news to offer you about rodger fetter ,,0.0,"and then do, in person on the sacred grass of Wimbeldon ",,0.0,Then you are apt to have what one of the tournaments press bus drivers describes as a bloody near religious experience ,sports ,0.0,Is human beings reconciliation with the fact of having a body,,0.0,60 minutes did a feature on him just last year ,,0.0,To hear a phrase like this is just one more of the overheated tropes that people resort to describe the feeling of fetter moments ,,0.0,"elimination versus advance, heirarchy of rank and standing obsessive statistics, technical analysis, uniforms, banners chest thumping ect",,0.0,Maybe the best ever files and profiles ,,0.0,beauty is not the goal of competitive sports ,,0.0,"It's all just a google search away, knock yourself out ",,0.0,"Literally, for an instant ecstatically though it takes some time",,0.0,But high level of sports are a prime venue for the expression of human beauty,,0.0,For reasons that are not well understood wars codes are safer for most of us than loves,,0.0,The human beauty we are talking about here are is beauty of a particular type ,,0.0,This present article is more about a spectators experience of fetterer and its present context ,,0.0,But the drivers phrase turns out to be true ,,0.0,It has nothing to do with sex or cultural norms,,0.0,"He is, at 25 the best tennis player alive ",,0.0,What is seems to have to do with really ,,0.0,Through the ,,0.0,Of course in mens sports no one ever talks about beauty or grace or the body ,,0.0,And serious watching this truth emerge ,,0.0,This specific thesus here is if you've never seen the young man play live ,,0.0,The relation is roughly that of courage to war ,,0.0,Its power and appeal are universal ,,0.0,5,5,5,4,6,5,3,1,6,no,I wanted to see it through to the end and complete the task,30
6,29,Female,Bachelorג€™s or equivalent level of education,It may be tempting at first,,Anything you want to know about Mr Roger NMI Federer,Roger Federer tennis player,It might be called kinetic beauty,,Men may profess their love of sports,,0,but that love must always be cast and enacted in the symbology of war,,0.0,"Journalistically speaking, there is no hot news to offer about Roger Federer",Rodger Federer,0.0,And then do in person on the sacred grass of Wimbledon,,0.0,then you are apt to have what one of the tournaments press bus drivers describes as a bloody near religious experience,,0.0,it's human beings reconciliation with the fact of having a body ,,0.0,60 minutes did a feature on him just last year,,0.0,to hear a phrase like this is just one more of the overheated tropes that people resort to to describe the feeling of federer moments,Rodger Federer,0.0,"Elimination versus advance, hierarchy of rank and standing, obsessive statistics, technical analysis, uniforms, mass noise, banners, chest thumping etc",,0.0,"Maybe the best hever, files and profiles abound",,0.0,Beauty is not the goal of competitive sports,,0.0,"It's all just a google search away, knock yourself out",,0.0,"Literally, for an instant ecstatically, though it takes some time",,0.0,But high level sports are a prime venue for the expression of human beauty,,0.0,"For reasons that are not well understood, wars coats are safer for most of us than gloves",,0.0,The human beauty we're talking about here is beauty of a particular type,,0.0,This present article is more about a spectators experience of Federer and its context,Rodger Fedderer,0.0,But the drivers phrase turns out to be true,,0.0,It has nothing to do with sex or cultural norms,,0.0,He is at 25 the best tennis player currently alive,Rodger Fedderer,0.0,"What it seems to have to do with, really",,0.0,Through the literally withering heat and then wind and rain of the 06 Fort night,,0.0,"Of course, in men's sports no-one ever talks about beauty or grace or the body",,0.0,I'm serious watching to see this truth emerge,,0.0,This specific thesis here is that if you've never seen a young man play live,,0.0,The relation is roughly that of courage to war,,0.0,Its power and appeal are universal,,0.0,4,2,3,4,4,4,4,3,4,No,I persisted in case there was anything interesting,30
7,31,Male,Bachelorג€™s or equivalent level of education,it may be tempting at first,,anything you want to know about mr roger,,it might be called kinetic beauty,,men may profess their love of sports,men loving sport,0,but that love must always be cast and acted in the symbology of war,,0.0,"journalistically speaking, there is no hot news to offer you about mr federer",,0.0,and then do in person on the sacred grass of wimbleon,tennis,0.0,and you are apt to have what one of the tournaments press bus drivers describes as a bloody mary experience,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,6,3,3,5,6,2,because i was bored,i gave it another few attempts because i didnt want to quit too early,8
8,24,Male,Bachelorג€™s or equivalent level of education,"It may be tempting, at first. ",,Anything you want to know about Mr. Rodger? [unknown],,It might be called kinetic beauty. ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,2,6,6,1,1,6,"Yes, because the extra-time it would have taken to do all 30 transcriptions is too long",I stopped as soon I could. ,4
9,28,Female,Bachelorג€™s or equivalent level of education,it need be tempting at first,i don't know,anything you want to know about mr Roger ,mr roger,it might be cloud connected beauty,beauty,man may protest a lot of sports,sports,0,the dad love must be always be casted in symbology of war,,0.0,journalistically speaking there is no hot news to offer you about roger Federer ,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,5,3,2,4,5,5,"yes, because they don't make any sense for me","no, i wanted to see if there will be any difference ",6
