,age,gender,What is your Education Level:,transcription_1,transcription_2,transcription_3,transcription_4,quit_4,transcription_5,quit_5,transcription_6,quit_6,transcription_7,quit_7,transcription_8,quit_8,transcription_9,quit_9,transcription_10,quit_10,transcription_11,quit_11,transcription_12,quit_12,transcription_13,quit_13,transcription_14,quit_14,transcription_15,quit_15,transcription_16,quit_16,transcription_17,quit_17,transcription_18,quit_18,transcription_19,quit_19,transcription_20,quit_20,transcription_21,quit_21,transcription_22,quit_22,transcription_23,quit_23,transcription_24,quit_24,transcription_25,quit_25,transcription_26,quit_26,transcription_27,quit_27,transcription_28,quit_28,transcription_29,quit_29,transcription_30,quit_30,enjoyment_1,enjoyment_2,enjoyment_3,enjoyment_4,competence_1,competence_2,competence_3,effort_1,effort_2,"Did you choose to stop before reaching the end (i.e., the 30th task)? If so, why?"," Did you stop as soon as you first thought of stopping? If not, why did you persist and continue doing more tasks?",quit_index
0,21,Female,Bachelorג€™s or equivalent level of education,They agreed that efforts to reduce excessive sodium were warrented,it recommends 2.3 grams per day,people who consumed less than 3 grams of sodium per day,in 2011 researchers published a study in the journal of the american medical A S association  ,0,after follow 3681 people over almost a decade,0.0,americans consume on average 3.4 grams of sodium a day,0.0,why theres surprisingly little rational for this belief,0.0,concerning sodium intake around the world,0.0,if we in the medical community havent seen it before,0.0,the united states food and drug administration thinks thats not low enough,0.0,but they cautioned that no such evidence existed to recommend a very low salt diet,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,6,6,2,2,5,yes ,yes,11
1,19,Female,High school education,they agreed that efforts to reduce excessive sodium are warranted. ,it recommends 2.3 grams per day. ,people who consumed less than 3 grams of sodium per day,"in 2011, researchers published a study in the journal of the medical ASS association",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,6,2,7,2,3,4,Yes,Yes,4
2,19,Female,High school education,The efforts to reduce excessive sodium are warranted,It reccomends 2.3 grams per day.,People who consumed less than 3 grams of sodium per day.,in 2011 researchers published a study in the journal of the American as association,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,5,3,7,1,2,4,"Yes, because the recordings weren't working correctly, so i had to download each of them every time.",yes,4
3,29,Male,Bachelorג€™s or equivalent level of education,They agreed that efforts to reduce excessive sodium were warranted,It recommends 2.3g per day,People who consumed less than 3g of sodium per day,"In 2011, researchers published a study in the journal of the American Medical Association",0,"After following 3,681 people over almost a decade",0.0,Americans consume on average 3.4g of sodium per day,0.0,Why there's surprisingly little rationale for this belief,0.0,Concerning sodium intake around the world,0.0,If we in the medical community hadn't seen it before,0.0,The United States Food & Drug Administration thinks that's not low enough,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,6,5,4,3,3,4,"It was getting tiresome, and I didn't think doing another 20 would be worth it.",I wanted to reach 10 entries before seeing if I wanted to continue,10
4,28,Male,Bachelorג€™s or equivalent level of education,They agreed that efforts to reduce efforts were warranted,Ir recommends 2.3 grams per day,People who consume less than 3 grams of sodium per day,In 2011 researchers published a study in the journal of the American as association,0,After following 3681 people over almost nearly a decade,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,7,6,4,4,2,4,I stopped because the voice responses became repetitive,Yes,6
5,20,Male,Bachelorג€™s or equivalent level of education,The agreed that arracks to reduce the excessive sodium rewarded. ,It recommends 2.3 grams per day,People who consumed less than 3 grams of sodium per day.,"In 2011, researchers published a study in the journal of the American AS association. ",0,After following 3681 people over almost a decade. ,0.0,Americans consume on average 3.4 grams of sodium per day.,0.0,Why? There is surprisingly middle rational for this belief.,0.0,Concerning sodium intake around the world.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,1,7,7,1,1,7,yes it took too long,I didn't stop as soon as I thought about it,8
6,20,Female,High school education,They agreed that efforts to reduce excessive sodium were warranted.,It recommends 2.3 grams per day. ,People who consumed less than 3 grams of sodium per day.,In 2011 researchers published a study in the journal of the American AS association.,0,After following 3681 people over almost a decade.,0.0,"Americans consume, on average, 3.4 grams of sodium per day.",0.0,Why? There's surprisingly little rationale for this belief.,0.0,Concerning sodium intake around the world.,0.0,If we in the medical community hadn't seen it before,0.0,The United States food and drug administration think that's not low enough.,0.0,But they caution that no such evidence existed to recommend a low salt diet.,0.0,They too found that excessive salt intake was associated with high blood pressure.,0.0,This is on a low end of the safe zone of 3-6 grams in the study.,0.0,In addition to looking at high sodium diets.,0.0,The WHO says it should be 2.0 grams,0.0,Of a diet were sodium intake was 1.5-2.3 grams per day.,0.0,It compared the health outcomes of those who had very low sodium diets.,0.0,They also found that a low sodium diet was associated with higher mortality from cardiovascular causes. ,0.0,When compared with those who consumed 3-6 grams per day.,0.0,The American Heart Association goes even further.,0.0,They hope that future research would assess the potential benefits.,0.0,Than those who consumed more than 7 grams per day.,0.0,Or about the equivalent of 3 and a half table spoons of soy sauce,0.0,This result would be shocking,0.0,Last year experts convened by the institute of medicine assessed the evidence.,0.0,But we have,0.0,The second New England journal of medicine study did just that,0.0,And recommends we consume no more than 1.5 grams,0.0,What they found was worrysome,0.0,Had an even higher risk of death or cardiovascular incidents.,0.0,3,2,2,6,6,6,2,3,2,No.,"No, to ensure i completed the study.",30
7,27,Female,Bachelorג€™s or equivalent level of education,they agreed the effort to reduce excessive sodium was warranted ,it recommends 2.3g per day,people who consumed less than 3g of sodium per day,in 2011 researches published a study in the journal of the American medical AS sociation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,7,3,6,1,2,3,"yes, it was boring",yas,4
8,23,Male,Bachelorג€™s or equivalent level of education,They agreed that efforts to reduce excessive sodium are warranted,It recommends 2.3g per day,People who consumed less than 3g of sodium per day,"In 2011, researchers published a study in the journal of the American Medical Association",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,5,2,7,1,2,2,I didn’t see the point in contiuing,yes,4
9,29,Male,High school education,They agreed that efforts to reduce excessive sodium were warranted.,It recommends 2.3 Grams per day.,People who consumed less then 3 grams of sodium a day.,"In 2011, Researched published a study in the journal of the American and medical association.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,7,2,6,2,3,4,Yes,Yes.,4
