,age,gender,What is your Education Level:,transcription_1,"I think according to the article, salt is...",transcription_2,"I think according to the article, salt is....1",transcription_3,"I think according to the article, salt is....2",transcription_4,"I think according to the article, salt is....3",quit_4,transcription_5,"I think according to the article, salt is....4",quit_5,transcription_6,"I think according to the article, salt is....5",quit_6,transcription_7,"I think according to the article, salt is....6",quit_7,transcription_8,"I think according to the article, salt is....7",quit_8,transcription_9,"I think according to the article, salt is....8",quit_9,transcription_10,"I think according to the article, salt is....9",quit_10,transcription_11,"I think according to the article, salt is....10",quit_11,transcription_12,"I think according to the article, salt is....11",quit_12,transcription_13,"I think according to the article, salt is....12",quit_13,transcription_14,"I think according to the article, salt is....13",quit_14,transcription_15,"I think according to the article, salt is....14",quit_15,transcription_16,"I think according to the article, salt is....15",quit_16,transcription_17,"I think according to the article, salt is....16",quit_17,transcription_18,"I think according to the article, salt is....17",quit_18,transcription_19,"I think according to the article, salt is....18",quit_19,transcription_20,"I think according to the article, salt is....19",quit_20,transcription_21,"I think according to the article, salt is....20",quit_21,transcription_22,"I think according to the article, salt is....21",quit_22,transcription_23,"I think according to the article, salt is....22",quit_23,transcription_24,"I think according to the article, salt is....23",quit_24,transcription_25,"I think according to the article, salt is....24",quit_25,transcription_26,"I think according to the article, salt is....25",quit_26,transcription_27,"I think according to the article, salt is....26",quit_27,transcription_28,"I think according to the article, salt is....27",quit_28,transcription_29,"I think according to the article, salt is....28",quit_29,transcription_30,"I think according to the article, salt is....29",quit_30,enjoyment_1,enjoyment_2,enjoyment_3,enjoyment_4,competence_1,competence_2,competence_3,effort_1,effort_2,"Did you choose to stop before reaching the end (i.e., the 30th task)? If so, why?"," Did you stop as soon as you first thought of stopping? If not, why did you persist and continue doing more tasks?",quit_index
0,21,Female,High school education,They agreed that efforts to reduce excessive sodium were warranted.,bad.,It recommends 2.3g a day.,good in moderation.,People who consumed less than 3g of salt per day.,good in moderation.,"In 2011, researchers published a study in the journal of the American Medical Association",good in moderation.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,2,4,6,1,3,7,Too much time,Yes,4
1,28,Female,Bachelorג€™s or equivalent level of education,They agreed that efforts to reduces excessive sodium were warranted.,Too much is bad but the right amount is needed,It recommends 2.3grams per day,good under the recommendations ,people who consume less than 3grams of sodium per day,good if consumed less than 3g,In 2011 researchers published a studies in the journal of the American AS sociation,good in a dose,0,"after follow 3,681 people over a decade. ",in dose,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,4,4,7,1,4,"Im dyslexic and find it very hard to have to transcribe what I hear, takes me a long time. ",I did try one more but then when there was a longer transcript to write out I had to quit. Sorry. ,6
2,21,Female,Bachelorג€™s or equivalent level of education,They agreed that efforts to reduce excess sodium were warranted,bad,It recommends 2.3 grams per day.,,People who consume less than 3 grams of sodium per day.,,"In 2011, researchers published a study in the journal of the American Medical (AM) Association.",,0,"After following 3681 people for almost a decade,",,0.0,AMericans consume on average 3.4 grams of sodium per day,,0.0,Why? There's surprisingly very little rational on this believe,,0.0,Concerning sodium intake around the world,,0.0,If we in the medical hadn't seen it before,,0.0,The United states food and drug administration thinks that's not low enough,,0.0,but they cautioned that no such evidence existed to recommend a very low salt diet,,0.0,They too found that low salt intake was associated with high blood pressure,,0.0,This is on the low end on the safe zone of 3 to 6 grams in the study,,0.0,In addition to looking at low sodium diets,Not good for you,0.0,The world health organisation says it should 2.0 grams,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,2,6,6,2,2,7,"Yes, I stopped half way at the 15th task because it was a little tiring","No, I continued after the 3rd task even though I was given the option to stop because it was quite enjoyable to type. ",15
3,19,Female,High school education,They agreed that efforts to reduce excessive sodium were warranted.,,It recommend 2.3 grams per day.,,People who consumed less that 3 grams of sodium per day.,,"In 2011, researchers published a study in the journal of the American medical A.S association.",,0,After following 3681 people over almost a decade.,It's about the recommendations of the amount of salt intake.,0.0,Americans consume on average 3.4 grams of sodium per day.,Good for you but it's I'm important to not consume above the recommended amount per day.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,5,4,4,2,3,5,It was becoming more obvious what the study is about and the task was becoming mundane.,I wanted to do a couple more to make a better guess.,6
4,25,Male,Bachelorג€™s or equivalent level of education,They agreed that efforts to reduce excessive sodium were warranted. ,Bad for you.,it recommends 2.3g per day,bad for you,People who consumed less than 2.3g of sodium per day,,in 2011 researchers published a study in the journal of the American medical,,0,after following 3681 people after almost a decade,,0.0,americans consume on average 3.4g of sodium per day,,0.0,why? there's surprisingly little rationale for this belief ,,0.0,,bad for you,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,7,7,7,1,2,1,"Yes, It became extremely repetitive very quickly and boring.","No, I wanted to see if I could do all 30 but gave up.",8
5,25,Male,Bachelorג€™s or equivalent level of education,They agreed that efforts to reduce essive levels of sodium were warranted,good in moderation.,it recommends 2.3 grams per day,good in moderation.,people who consume less than 3 grams of sodium per day,good in moderation,"In 2011, researchers published a study in the Journal of the American AS Association.",good in moderation,0,After following 3681 people for over a decade,good in moderation,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,3,6,6,2,3,6,I didn't see the point,No. Because I wanted to.,5
6,29,Female,Masterג€™s+ or equivalent level of education,they agreed that efforts to reduce excessive sodium is warranted,,it recommends 2.3 gms per day,bad,people who can consume less than 3 gms of sodium per day,,"in 2011, reseaarchers published a study in the journal of american  medical assocaiation ",,0,after follow 3681 people over almost a decade,,0.0,Americans consume on average 3.4g of sodium a day,bad,0.0,why? theres surprising little rational for this belief ,bad,0.0,concerning sodium intake around the world,bad,0.0,if we in the medical community hadnt seen it before,bad,0.0,the united states food in drug administration thinks thats not low enough,bad,0.0,but they cautions that no such evidence existed to recommend a very low salt diet ,bad,0.0,they too found that excessive salt intake was associated with high blood pressure,bad,0.0,this is on the low end of safe 3-6g of the study,bad,0.0,in additon to looking at high sodium diets,bad,0.0,the WHO says it should be 2.0g,bad,0.0,on the diet were sodium intake was 1.5-2.3g per day,bad,0.0,it compares to health outcomes who had very low sodium diets,bad,0.0,they also found that a low sodium diet is associated with high mortality from cardiovascular causes ,bad,0.0,when compared to those who consumed 3-6g per day,bad,0.0,the American heart association goes even further ,bad,0.0,they hope that future research would asses the potential benefits ,bad,0.0,than those who consumed more that 7g per day,bad,0.0,or about the equivalent for 3 and a half table spoons of soya sauce,bad,0.0,this result would be shocking ,bad,0.0,last year experts connived by the institute of medicine excessed the evidence ,bad,0.0,but we have,bad,0.0,the second new England journal of medicine study did just that ,bad,0.0,and recommends we consume no more than 1.5g,bad,0.0,what they found was worrisome,bad,0.0,had an even higher risk of death or cardiovascular incidents ,bad,0.0,1,5,6,1,4,6,1,1,6,no,i enjoyed this task,30
7,28,Male,Bachelorג€™s or equivalent level of education,They agreed their efforts to reduce excessive sodium were warranted ,Very bad,It reccomands 2.3 grams per day,,People who consume less than 3 grams of sodium per day,,In 2011 researchers published a study in the journal of the american medical AS association ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,2,3,1,4,6,I did this yesterday and did all 30,I did this yesterday and did all 30,4
8,20,Male,High school education,They agreed that efforts to reduce excessive sodium were warranted,bad,It recommends 2.3 grams per day,,People who consumed less than 3 grams of sodium per day,,In 2011 researches published a study in the journal of the American medical as association ,,0,After following 3681 for almost a decade,,0.0,American's consume on average 3.4 grams of sodium per day.,,0.0,Why? there is surprisingly little rational for this belief.,,0.0,Concerning sodium intake around the world,,0.0,If we in the medical community haven't seen in before,,0.0,The united states food and drug administration thinks that's not low enough,,0.0,But they caution that no such evidence existed that recommends a very low salt diet,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,7,5,2,4,1,6,"yes, because I go tired and bored of the study",At first I wanted to persist but then I was only on task 10 so I was still really far away.,11
9,21,Female,Bachelorג€™s or equivalent level of education,They agreed that efforts to reduce excessive sodium are warranted ,Bad in large quantities ,It recommends 2.3g per day.,good when limited.,People who consumed less than 3g of sodium per day,acceptable ,"In 2011, researchers published a study in the Journal of the American Medical AS Association.",fine,0,After following 3681 people over almost a decade.,fine,0.0,Americans consume on average 3.4g of sodium per day.,fine in moderation ,0.0,Why there is surprisingly little rationale for this belief.,good,0.0,concerning sodium intake around the world ,fine,0.0,If we in the medical community had not seen it before ,bad,0.0,The United States food and drug administration think that it is not low enough,bad,0.0,but they caution that no such evidence existed to recommend a very low salt diet,fine,0.0,they too found that excessive salt intake is associated with high blood pressure ,bad,0.0,this is on the low end of the safe zone of 3-6g in the study,bad,0.0,in addition to looking at high sodium diets ,bad,0.0,the world health organisation says it should be 2.0g,bad,0.0,of a diet where sodium intake was 1.5 - 2.3g per day,bad,0.0,it compared to health outcomes of those who had very low sodium diets ,fine,0.0,they also found that a low sodium diet was associated with higher mortality from cardiovascular causes,good,0.0,when compared with those who consumed 3-6g per day,good,0.0,the american heart association goes even further ,fine,0.0,they hope that future research would assess the potential benefits,good,0.0,than those who consumed more than 7g per day,good,0.0,or about the equivalent of 3 and a half tablespoons of soy sauce,fine,0.0,this result would be shocking ,bad,0.0,last year experts convened by the institute of medicine assessed the evidence ,bad,0.0,but we have ,bad,0.0,the second new england journal of medicine did just that ,bad,0.0,and recommends we consume no more than 1.5g,bad,0.0,what they found was worrisome ,bad,0.0,have an even higher risk of death or cardiovascular incidents ,bad,0.0,2,4,5,3,4,3,5,1,6,no,i wanted to finish it ,30
10,28,Female,High school education,They agreed that efforts to reduce excessive sodium are warranted.,Bad for you in excess,It recommends 2.3 grams per day,bad in excess,people who consumed less than 3 grams of sodium per day,bad in excess,"In 2011, researchers published a study in the journal of the American Medical Association",bad in excess,0,"After following 3681 people over almost a decade,",bad in excess,0.0,"Americans consume, on average, 3.4 grams of sodium per day",bad in excess,0.0,Why? There's surprisingly little rationale for this belief.,bad in excess,0.0,Concerning sodium intake around the world,bad in excess,0.0,If we in the medical community hadn't seen it before,bad in excess,0.0,The United Stated Food and Drug Administration thinks that's not low enough.,bad in excess,0.0,But they caution that no such evidence existed to recommend a very low salt diet.,bad in excess,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,2,4,7,2,3,7,Yes,No,11
11,18,Male,High school education,they agree that efforts to reduce sodium is useless,good,it recommends two grams per day,bad,people that consumed less than three grans per day,bad,in 2011 researchers published a study in the American journal as association,good,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,7,5,4,4,4,4,because i wanted to end it faster ,yes,4
